    1241     9924    15188    22066     3033     4183     8525     5472    25639      216     8694    44581    16162   133713      393     7750       12    44241    43998    67318     6520    14035     5101      226    16848     1166    27097
    7149      707        5       77    34121        0        0       56     3101      303       13     8318      103      128     9760        0        0     7896     1251      443    13222       61       21        0     6477       10     1574
   17098        0     2494       10    24949        0        0    27970     5705        0     6011     4651        3        2    26706        0      180     4813      120     6874     3890        0       10        0      914        6      813
   10293       97       33     2010    30183      231     1831      116    14931      263      117     2213      913     1131    13218       13       49     8076     6623      201     2018      539      877        0     2146        3   193059
   38510     1669    11633    60220    21963     8823     4584     3524    11858      525     1328    26445    20236    63081     6077     8612      515   102197    50899    23634      629    13389     6418     4581    14174      757   280221
    9674       46       42       24    10670     6311        2       18    10412        2        9     3073        4       19    27377       29        4    11365      314     5190     3759        0       44        0      382        0    59485
    9777       28        8      481    12691       50      736    15854     6468        0       33     2887      466     1773    12876       37        2     6939     3911      869     2428        7       32        0      883        7    39028
   79971      372       88      146   225570      232       48       88    66691       28      114      369      652      334    36568       61       20     5020      807    11693     4883       10      145        0     6389       23    50511
    6440     2742    18881    20909    17663     9155    11116      113      551      191     2842    24027    22464   108373    14487     2311      377    16244    55933    52618      265    10470       18      777        2      886    15525
    1287        0        0        0     4654        0        0        0       27        0        0        0        0        0     3219        0        0        0        0        0     3322        0        0        0        0        0        0
     839       30      109        8    16620       61       20      881     9176        0       46      619       78     4624      785       13        2      133     1946       23      726       20      143        0      143        0    10926
   18167      137      246    17696    40429     4232      172       61    21541        0     1930    42728      798      242    25437      718        2      558     5286     5860     2399     1938      661        0    16042       48    43460
   24677     3334      192       19    38438      339        6       31    11865       11        9      225     3253      587    15864     5689        0     1522     3989       87     3650        0       91        0     7822        6    33321
   11512      414    15025   107636    34927     1487    52403      834    11409      374     3053     3230      207     3501    30165      165      519      152    16384    44816     1905     1056      275      136     4531       27   100639
    3753     2651     3314    11644     1624    59626     1756     1146     5196      377     6706    16307    26120    61014    14824     7981       37    60731    13590    23968    62531    11608    21325      365     1936      229    64820
   10781       41      132       12    17844      109       33     3618     6810        0       31    10636       45       15    12138     4598        0    15458     1768     4794     3403        0      105        0      534        0     7650
       0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0     3999        0        0        0        0        0        2
   20387      698     3197    19621    86052      899     2536      380    30072       51     3110     2879     4745     8312    31670     1222       15     7101    18952    13002     6886     2840      589       16    10661      117    76417
   25441      686     4232      344    45909      446      301    33376    17595        9     2874     2638     2790     1085    22180     8057      225     2658    18534    42458     8656       83     2516        0     1056        7   135029
   17714      179     1511       26    40295      386       27   255013    26614        6       14     5660      583      601    60012      124        0    12808    10859     8469     6923       21     3548        6     7184      138   134840
    2550     2477     4107     4297     3631      732     7633       69     4044        5      419    13238     3452    26862      216     9964        2    21523    22778    25230        3      158        9       51       95      743    12630
    4120        2        0       11    42504        0        4        2    10105        0       10      216        0      534     2992        0        0       88      618        7       40        2        8        0      246        0     2241
   25886      113       32      471    20583      122       32    28925    27545        0       99      736       15     5368    12038       11        2     1618     1666       39       39        0       56        0       61        0    15038
     550        0     1074        0      757        2        0      115      647        0        0       29        5        0       13     1660       10        0       10      804       24      182        2      220       11        0      642
    1571      218      221       45    10856      209       24       49     3163        2       40      672      258      140    13829      918        0      590     3666      981       63       32      129       13       16       11    73374
     846        7        2       28     1666        0        5      167      867        2       10       58       78       27      737       53        0      133        3        4      178        4        2        0       28      287      322
  174155    62889    45665    37792    24991    51239    27725   110091    79124     9234    10599    35718    52391    32245    91210    36591     1834    26122   101788   248880    24040     7051    91546      532    19046      973    12750
